"SALBEG"	"SEX"	"JOBCAT"
5400	"Male"	"Clerical"
5100	"Female"	"Clerical"
8400	"Male"	"CollegeTrainee"
5400	"Male"	"Clerical"
24000	"Male"	"Exempt"
4800	"Female"	"Clerical"
10200	"Male"	"Exempt"
8700	"Male"	"CollegeTrainee"
6996	"Male"	"Clerical"
17400	"Male"	"Exempt"
5100	"Male"	"Clerical"
12996	"Male"	"CollegeTrainee"
6420	"Male"	"Clerical"
4800	"Female"	"Clerical"
4800	"Male"	"Office"
6900	"Male"	"Clerical"
5700	"Female"	"Clerical"
6600	"Male"	"Clerical"
4500	"Female"	"Office"
4500	"Female"	"Office"
5280	"Female"	"Clerical"
4080	"Female"	"Clerical"
4800	"Female"	"Office"
5400	"Male"	"Clerical"
5040	"Male"	"Clerical"
5400	"Female"	"Office"
5100	"Male"	"Clerical"
6000	"Male"	"Clerical"
10500	"Male"	"CollegeTrainee"
10800	"Male"	"Exempt"
13200	"Male"	"Exempt"
5760	"Male"	"Office"
6900	"Female"	"Office"
5280	"Female"	"Clerical"
4080	"Female"	"Clerical"
4500	"Female"	"Office"
4800	"Female"	"Clerical"
6600	"Male"	"Clerical"
13500	"Male"	"CollegeTrainee"
6900	"Male"	"Clerical"
4800	"Female"	"Clerical"
7500	"Female"	"Clerical"
4800	"Female"	"Office"
5400	"Female"	"Clerical"
6000	"Male"	"Clerical"
4500	"Female"	"Office"
6300	"Male"	"Clerical"
5100	"Female"	"Office"
11004	"Male"	"CollegeTrainee"
7200	"Female"	"Clerical"
4440	"Female"	"Clerical"
7200	"Male"	"Clerical"
7200	"Male"	"Clerical"
4200	"Female"	"Office"
5700	"Female"	"Clerical"
10992	"Male"	"Exempt"
4500	"Female"	"Office"
6300	"Female"	"Clerical"
6600	"Female"	"Office"
8700	"Male"	"CollegeTrainee"
5700	"Male"	"Clerical"
5220	"Female"	"Office"
12804	"Male"	"CollegeTrainee"
13992	"Male"	"Exempt"
6600	"Male"	"Office"
10992	"Male"	"CollegeTrainee"
6600	"Female"	"Office"
5400	"Female"	"Clerical"
6300	"Male"	"Office"
7800	"Female"	"Clerical"
4980	"Female"	"Office"
6000	"Male"	"Clerical"
4500	"Female"	"Office"
12996	"Male"	"Exempt"
5520	"Female"	"Clerical"
12996	"Male"	"MBATrainee"
4620	"Female"	"Office"
5400	"Female"	"Clerical"
5880	"Male"	"Office"
4490	"Female"	"Clerical"
4500	"Female"	"Office"
6000	"Male"	"Office"
13200	"Male"	"CollegeTrainee"
6000	"Male"	"Clerical"
5700	"Female"	"Clerical"
4500	"Female"	"Office"
6000	"Male"	"Office"
6600	"Female"	"Clerical"
7500	"Female"	"Clerical"
6000	"Female"	"Clerical"
5400	"Male"	"Clerical"
10992	"Male"	"CollegeTrainee"
6600	"Male"	"Office"
7992	"Female"	"Clerical"
7500	"Female"	"CollegeTrainee"
7800	"Male"	"Clerical"
3900	"Female"	"Clerical"
5400	"Female"	"Office"
7500	"Female"	"Office"
5100	"Female"	"Clerical"
5700	"Male"	"Office"
4380	"Female"	"Office"
4080	"Female"	"Clerical"
4080	"Female"	"Clerical"
4620	"Female"	"Office"
6600	"Male"	"Clerical"
6000	"Male"	"Clerical"
4500	"Female"	"Office"
3900	"Female"	"Clerical"
4800	"Female"	"Clerical"
10200	"Male"	"Exempt"
7500	"Male"	"Clerical"
9996	"Female"	"Exempt"
8400	"Male"	"CollegeTrainee"
7800	"Male"	"Clerical"
4500	"Female"	"Office"
6600	"Female"	"Clerical"
8160	"Male"	"Clerical"
6000	"Male"	"Office"
10992	"Male"	"CollegeTrainee"
5700	"Male"	"Clerical"
9492	"Male"	"CollegeTrainee"
4800	"Female"	"Clerical"
6120	"Female"	"Clerical"
7800	"Male"	"Clerical"
4560	"Female"	"Office"
6000	"Male"	"Clerical"
6000	"Male"	"Clerical"
9492	"Male"	"Exempt"
5340	"Female"	"Office"
4500	"Female"	"Office"
6300	"Male"	"Clerical"
11100	"Male"	"Clerical"
